TIME,VP,RHOB,DT,AI, 
0.60924202,2922.3396,2279.2627,342.19158,6660779.5,
0.60934331,2956.6953,2285.907,338.25525,6758929.4,
0.60944461,3008.8822,2295.953,332.34933,6908252,
0.6095439,3043.2922,2302.4877,328.59389,7007155.1,
0.6096432,3069.4846,2307.4274,325.78759,7082613,
0.60974163,3088.3184,2310.9579,323.80211,7136981.3,
0.60984005,3097.5605,2312.6858,322.83468,7163684.5,
0.60994003,3079.965,2309.3899,324.68596,7112878.1,
0.61004002,3047.9984,2303.3789,328.08416,7020695.1,
0.61014233,3006.5426,2295.4916,332.63126,6901614.2,
0.61024463,2979.4722,2290.322,335.62991,6823951,
0.61034462,3013.736,2296.8506,331.85697,6922325,
0.6104446,3047.9998,2303.3792,328.08402,7020699,
0.6105467,3019.6091,2297.978,331.19732,6939145.5,
0.6106488,2985.3087,2291.4427,334.97373,6840664.1,
0.61075141,2975.0835,2289.478,336.12507,6811388.5,
0.61085401,2970.76,2288.6458,336.6142,6799017,
0.61095506,2988.9106,2292.1264,334.58128,6851018.5,
0.61105611,3014.8383,2297.0884,331.69274,6925350.5,
0.61115645,3026.8959,2299.3827,330.36995,6959984.3,
0.61125679,3038.8837,2301.655,329.06821,6994461.6,
0.6113557,3064.2507,2306.4368,326.35383,7067553.5,
0.61145461,3081.9006,2309.7573,324.47508,7118443,
0.61155421,3072.2656,2307.9479,325.49579,7090646.2,
0.6116538,3060.2415,2305.6885,326.7716,7055963.6,
0.61175361,3057.3063,2305.1355,327.08512,7047503.9,
0.61185341,3054.1086,2304.5323,327.42779,7038291.5,
0.6119545,3033.1501,2300.5607,329.70214,6978008.8,
0.61205559,3014.8369,2297.0881,331.69289,6925346.5,
0.6121559,3023.4902,2298.7334,330.7455,6950208,
0.61225621,3038.8815,2301.6545,329.06845,6994455.2,
0.61235553,3057.5491,2305.1783,327.06353,7048218.4,
0.61245485,3069.4863,2307.4277,325.78741,7082618,
0.61255495,3062.806,2306.1717,326.49734,7063352.4,
0.61265505,3044.9549,2302.8035,328.41208,7011933,
0.61276416,2913.7651,2277.2277,343.7795,6638111,
0.61287326,2793.7676,2253.7683,357.93957,6296505,
0.61298165,2798.56,2254.7345,357.32605,6310007.9,
0.61309003,2811.808,2257.3979,355.64307,6347369.4,
0.61318891,2947.3635,2283.7293,339.91603,6734100.2,
0.6132878,3081.8998,2309.7572,324.47517,7118440.7,
0.6133862,3093.4293,2311.9146,323.26547,7151742.2,
0.6134846,3097.5605,2312.6858,322.83468,7163684.5,
0.61358443,3082.491,2309.8647,324.4176,7120162.7,
0.61368425,3054.1062,2304.5318,327.42805,7038284.7,
0.61378635,3013.7424,2296.8642,331.83692,6922280,
0.61388845,2985.308,2291.4426,334.97381,6840662.1,
0.61399064,2983.1476,2291.0279,335.21639,6834474.4,
0.61409283,2982.3879,2290.8821,335.3018,6832299,
0.61419383,3000.1052,2294.2693,333.33328,6883109.4,
0.61429482,3017.822,2297.6565,331.3648,6933918.5,
0.61439812,2984.2286,2291.2082,335.13744,6837706,
0.61450141,2950.6289,2284.7588,338.91079,6741475.5,
0.614603,2970.9655,2288.6763,336.60529,6799650.9,
0.61470459,2999.999,2294.2566,333.33344,6882767.3,
0.61480531,3017.7494,2297.6417,331.37437,6933715.3,
0.61490603,3026.8118,2299.3657,330.38063,6959747.5,
0.61500864,2998.7775,2294.0041,333.49835,6879358.2,
0.61511124,2970.76,2288.6458,336.6142,6799017,
0.61521373,2972.2095,2288.9249,336.45012,6803164.5,
0.61531622,2973.6584,2289.2039,336.28609,6807310.5,
0.61542213,2925.9207,2279.9036,341.86376,6671260.9,
0.61552805,2878.1875,2270.6043,347.44089,6535224.6,
0.61562922,2945.0195,2283.5617,339.7313,6725999.4,
0.6157304,3011.8577,2296.5203,332.02101,6916792,
0.61583363,2989.8317,2292.301,334.4812,6853666.6,
0.61593686,2953.4898,2285.3124,338.58252,6749646.6,
0.61604203,2927.2039,2280.2135,341.61815,6674626,
0.6161472,2897.3422,2274.3727,345.1439,6589636,
0.61625612,2839.1848,2262.8339,352.2781,6424896.7,
0.61636503,2798.8987,2254.8025,357.2834,6310963.5,
0.61647145,2831.7873,2261.3686,353.1815,6403930.6,
0.61657787,2864.6614,2267.9319,349.08141,6496856.5,
0.61668453,2860.634,2267.134,349.57356,6485443.4,
0.61679119,2856.6074,2266.3362,350.06562,6474032.5,
0.61689562,2874.7332,2269.9228,347.85777,6525423.6,
0.61700004,2919.539,2278.7164,342.51984,6652801.1,
0.61709323,3108.2822,2314.1032,322.58413,7197702.5,
0.61718642,3270.386,2344.2905,305.7743,7666735,
0.61728691,3186.199,2328.9631,313.98926,7421323.7,
0.6173874,3032.8473,2300.5112,329.72316,6977099.1,
0.61750022,2832.9282,2261.2249,353.65817,6408911.7,
0.61761304,2702.1279,2235.0547,370.07869,6039404,
0.61772092,2739.0183,2242.6357,365.1064,6142690.7,
0.6178288,2824.8436,2260.0096,354.0019,6384173.8,
0.61792091,3066.5177,2306.0721,327.3079,7078130.7,
0.61801303,3309.4489,2351.2597,302.16512,7781373.6,
0.61810175,3382.8516,2364.2157,295.57666,7997555.9,
0.61819047,3436.3016,2373.4743,291.01055,8155973.2,
0.61827623,3509.5287,2385.9945,284.96994,8373945.6,
0.618362,3552.447,2393.2805,281.49612,8502002,
0.61845153,3500.2245,2384.4041,285.73715,8346246.9,
0.61854105,3405.5924,2368.1536,293.63467,8064966.1,
0.61863613,3287.9881,2347.3407,304.27265,7718887.8,
0.61873122,3205.0453,2332.4924,312.00805,7475744,
0.61882682,3196.0593,2330.8568,312.88379,7449547.7,
0.61892243,3188.2838,2329.4369,313.64837,7426905.4,
0.61901982,3158.6998,2324.0036,316.60154,7340919.3,
0.61911721,3129.3631,2318.5993,319.55385,7255738.7,
0.6192151,3120.2166,2316.9037,320.48993,7229237.7,
0.619313,3113.3811,2315.6333,321.19421,7209448.9,
0.61941141,3103.4834,2313.79,322.21947,7180814.1,
0.61950981,3097.5605,2312.6858,322.83468,7163684.5,
0.61960813,3098.3889,2312.8404,322.74835,7166079.3,
0.61970644,3100.7117,2313.2739,322.50661,7172795.5,
0.61980294,3130.3693,2318.768,319.47696,7258747.1,
0.61989943,3158.5486,2323.9863,316.6011,7340424,
0.61999693,3143.0801,2321.1306,318.16691,7295543.4,
0.62009443,3126.1536,2318.0046,319.88191,7246438.3,
0.62019203,3123.8232,2317.5725,320.12053,7239687,
0.62028963,3122.9507,2317.4106,320.20998,7237159.5,
0.62038512,3157.2907,2323.7293,316.7647,7336906.5,
0.6204806,3191.623,2330.0466,313.3202,7436631,
0.6205776,3166.9454,2325.5162,315.78084,7364895.1,
0.62067461,3142.2678,2320.9858,318.24148,7293159.5,
0.62076941,3162.8085,2324.7704,316.17262,7352799.4,
0.6208642,3215.1872,2334.3354,311.02387,7505325.4,
0.62094622,3432.6457,2372.2761,292.06275,8148374,
0.62102823,3717.0574,2420.5358,269.03002,8997270.5,
0.62110365,3915.4926,2452.1558,255.46354,9601987.4,
0.62117906,4042.4456,2471.8535,247.37501,9992333.3,
0.62125323,4088.7455,2478.9016,244.57355,10135593,
0.62132741,4107.8169,2481.7869,243.43831,10194726,
0.62140242,4095.5552,2479.9333,244.16657,10156696,
0.62147743,4063.9987,2475.1417,246.06309,10058972,
0.62155891,3918.3821,2452.4523,255.44439,9611874.5,
0.62164038,3739.8773,2424.2423,267.38846,9066368.7,
0.62172541,3636.7844,2407.3372,274.99564,8755193,
0.62181043,3585.8823,2398.8921,278.87139,8602145,
0.62189402,3602.7146,2401.7029,277.5673,8652645.1,
0.62197762,3645.9299,2408.8722,274.27846,8782579.5,
0.62205233,3839.2235,2439.7931,260.91467,9370912.6,
0.62212704,4080.3059,2477.6211,245.07965,10109452,
0.62219783,4229.7173,2499.9633,236.45785,10574515,
0.62226863,4305.0845,2511.0601,232.28348,10810326,
0.62235034,4059.5778,2473.68,247.16926,10050630,
0.62243206,3730.716,2422.7562,268.04507,9038614.8,
0.62251923,3571.33,2396.4056,280.06572,8558833.9,
0.6226064,3495.4133,2383.6162,286.0892,8331724,
0.62269169,3534.3407,2390.1979,282.97252,8448030,
0.62277698,3573.2698,2396.7798,279.85571,8564341,
0.62286421,3534.3469,2390.1989,282.97202,8448048.6,
0.62295144,3495.4133,2383.6162,286.0892,8331724,
0.62303804,3507.519,2385.6746,285.1052,8367824.5,
0.62312464,3519.6311,2387.7341,284.12067,8403944,
0.62321162,3515.1913,2386.981,284.47937,8390693.8,
0.6232986,3503.4465,2384.9847,285.43321,8355666.4,
0.62338952,3439.0072,2373.8887,290.85034,8164302.4,
0.62348045,3353.1318,2358.9804,298.22867,7909972.2,
0.62357394,3292.123,2348.1631,303.77341,7730557.9,
0.62366742,3259.8933,2342.408,306.75851,7636000,
0.62375912,3289.5582,2347.7012,304.01662,7723054.5,
0.62385082,3323.8822,2353.8193,300.85303,7823817.7,
0.62394222,3331.6667,2355.1963,300.15005,7846728.3,
0.62403362,3334.7917,2355.7483,299.86881,7855929.5,
0.62412583,3320.3276,2353.1855,301.18082,7813383.7,
0.62421803,3305.8572,2350.6216,302.4934,7770819.5,
0.62431014,3306.8436,2350.7969,302.40316,7773717.7,
0.62440224,3309.4468,2351.2593,302.16531,7781367.4,
0.62449343,3320.0299,2353.1369,301.20197,7812483.8,
0.62458463,3342.1069,2357.0391,299.21246,7877476.4,
0.62467233,3388.0877,2365.111,295.14121,8013153.6,
0.62476004,3475.4886,2380.212,287.72931,8272400,
0.62483484,3786.3811,2430.733,265.2778,9213879.9,
0.62490964,4074.867,2476.7949,245.40678,10092610,
0.62498313,4126.9862,2484.6793,242.30565,10254210,
0.62505662,4146.9395,2487.6748,241.14169,10316237,
0.62514111,3900.1979,2448.9141,257.4054,9560619.9,
0.62522559,3607.1061,2402.4338,277.23054,8665834.2,
0.62531282,3528.1358,2389.1734,283.43706,8429351.1,
0.62540005,3495.4133,2383.6162,286.0892,8331724,
0.62548724,3495.4133,2383.6162,286.0892,8331724,
0.62557442,3495.4133,2383.6162,286.0892,8331724,
0.62566362,3456.2182,2376.8773,289.37079,8215270.2,
0.62575281,3417.0405,2370.1414,292.65092,8098868.5,
0.62584112,3431.7493,2372.6839,291.40158,8142491.1,
0.62592942,3451.8681,2376.1575,289.69821,8202182.4,
0.62601733,3462.429,2377.9727,288.81488,8233563.7,
0.62610525,3467.5771,2378.8564,288.38581,8248868,
0.62619462,3445.6401,2375.078,290.23104,8183728.8,
0.62628399,3409.3974,2368.8147,293.30697,8076230.7,
0.62637492,3374.1211,2362.6567,296.38235,7971949.7,
