A
-89.1123
-151.958
-314.812
-487.784
-576.413
-573.533
-542.082
-534.444
-546.574
-591.056
-739.598
-1015.84
-1395.4
-1923
-2682.11
-3655.2
-4652.72
-5321.1
-5217.46
-3970.55
-1402.58
2330.73
6666.17
10765.2
13634.9
14513.6
13174.9
9883.32
5442.08
883.011
-2907.6
-5333.49
-6257.04
-5929.56
-4842.08
-3543.79
-2421.95
-1634.84
-1145.25
-831.252
-638.649
-594.331
-661.927
-732.469
-757.063
-739.337
-664.678
-514.158
-315.243
-153.96
-95.9384
